"id","firstname","lastname","birthyear","zipcode","gamma.1","gamma.2","gamma.3","gamma.4","posterior","firstname_a","lastname_a","birthyear_a","zipcode_a","firstname_b","lastname_b","birthyear_b","zipcode_b","first_name_distance","last_name_distance","birth_year_distance","posterior_bin"
1,"Michael","Martinez",1984,19201,2,2,2,2,0.999606254813491,"Michael","Martinez",1984,19201,"Michael","Martinez",1984,19201,0,0,0,"(0.9,1]"
2,"Michael","Smith",1992,18881,2,2,2,2,0.999606254813491,"Michael","Smith",1992,18881,"Michael","Smith",1992,18881,0,0,0,"(0.9,1]"
3,"Olivia","Miller",1981,12543,2,2,2,2,0.999606254813491,"Olivia","Miller",1981,12543,"Olivia","Miller",1981,12543,0,0,0,"(0.9,1]"
4,"Jane","Williams",1982,11103,2,0,2,2,0.9851868388166,"Jane","Williams",1982,11103,"Jane","Wgllwazs",1982,11103,0,3,0,"(0.9,1]"
5,"Sarah","Smith",1986,17973,2,2,2,2,0.999606254813491,"Sarah","Smith",1986,17973,"Sarah","Smith",1986,17973,0,0,0,"(0.9,1]"
6,"David","Brown",1992,15604,0,0,2,2,0.637087109523096,"David","Brown",1992,15604,"ayfiz","hsowi",1992,15604,4,3,0,"(0.6,0.7]"
7,"Emily","Smith",1996,15704,2,2,2,2,0.999606254813491,"Emily","Smith",1996,15704,"Emily","Smith",1996,15704,0,0,0,"(0.9,1]"
8,"Sarah","Smith",1998,12445,2,2,2,2,0.999606254813491,"Sarah","Smith",1998,12445,"Sarah","Smith",1998,12445,0,0,0,"(0.9,1]"
9,"James","Johnson",1987,11533,2,2,2,2,0.999606254813491,"James","Johnson",1987,11533,"James","Johnson",1987,11533,0,0,0,"(0.9,1]"
10,"Olivia","Johnson",2000,12454,2,2,2,2,0.999606254813491,"Olivia","Johnson",2000,12454,"Olivia","Johnson",2000,12454,0,0,0,"(0.9,1]"
11,"David","Jones",1986,11394,2,2,2,2,0.999606254813491,"David","Jones",1986,11394,"David","Jones",1986,11394,0,0,0,"(0.9,1]"
12,"Michael","Miller",1975,15922,2,2,2,2,0.999606254813491,"Michael","Miller",1975,15922,"Michael","Miller",1975,15922,0,0,0,"(0.9,1]"
13,"James","Davis",1997,15865,2,2,2,2,0.999606254813491,"James","Davis",1997,15865,"James","Davis",1997,15865,0,0,0,"(0.9,1]"
14,"James","Davis",1980,15451,2,2,2,2,0.999606254813491,"James","Davis",1980,15451,"James","Davis",1980,15451,0,0,0,"(0.9,1]"
15,"James","Johnson",1985,19755,2,2,2,2,0.999606254813491,"James","Johnson",1985,19755,"James","Johnson",1985,19755,0,0,0,"(0.9,1]"
16,"Michael","Smith",1997,16361,2,2,2,2,0.999606254813491,"Michael","Smith",1997,16361,"Michael","Smith",1997,16361,0,0,0,"(0.9,1]"
17,"Emma","Williams",1977,12735,2,2,2,2,0.999606254813491,"Emma","Williams",1977,12735,"Emma","Williams",1977,12735,0,0,0,"(0.9,1]"
18,"Olivia","Johnson",1985,15754,0,2,2,2,0.985296268614473,"Olivia","Johnson",1985,15754,"fkpimm","Johnson",1985,15754,6,0,0,"(0.9,1]"
19,"William","Smith",2000,15493,0,2,2,2,0.985296268614473,"William","Smith",2000,15493,"qwxdonh","Smith",2000,15493,7,0,0,"(0.9,1]"
20,"Olivia","Rodriguez",1974,15428,2,2,2,2,0.999606254813491,"Olivia","Rodriguez",1974,15428,"Olivia","Rodriguez",1974,15428,0,0,0,"(0.9,1]"
21,"James","Martinez",1970,14090,0,0,2,2,0.637087109523096,"James","Martinez",1970,14090,"samks","harlpnez",1970,14090,2,3,0,"(0.6,0.7]"
22,"Michael","Smith",1989,15347,0,2,2,2,0.985296268614473,"Michael","Smith",1989,15347,"Mcoszrn","Smith",1989,15347,6,0,0,"(0.9,1]"
23,"Emily","Brown",1981,18910,2,2,2,2,0.999606254813491,"Emily","Brown",1981,18910,"Emily","Brown",1981,18910,0,0,0,"(0.9,1]"
24,"John","Brown",1972,12618,0,0,2,2,0.637087109523096,"John","Brown",1972,12618,"dorg","jbctn",1972,12618,3,4,0,"(0.6,0.7]"
25,"William","Johnson",1987,11864,2,2,2,2,0.999606254813491,"William","Johnson",1987,11864,"William","Johnson",1987,11864,0,0,0,"(0.9,1]"
26,"David","Miller",1983,14013,0,2,2,2,0.985296268614473,"David","Miller",1983,14013,"ctsnh","Miller",1983,14013,5,0,0,"(0.9,1]"
27,"Olivia","Davis",1983,15169,2,2,2,2,0.999606254813491,"Olivia","Davis",1983,15169,"Olivia","Davis",1983,15169,0,0,0,"(0.9,1]"
28,"William","Garcia",1977,19839,2,2,2,2,0.999606254813491,"William","Garcia",1977,19839,"William","Garcia",1977,19839,0,0,0,"(0.9,1]"
29,"James","Williams",1989,10166,2,2,2,2,0.999606254813491,"James","Williams",1989,10166,"James","Williams",1989,10166,0,0,0,"(0.9,1]"
30,"James","Johnson",1974,11668,2,0,2,2,0.9851868388166,"James","Johnson",1974,11668,"James","vehnzln",1974,11668,0,4,0,"(0.9,1]"
31,"Olivia","Johnson",1992,14730,2,0,2,2,0.9851868388166,"Olivia","Johnson",1992,14730,"Olivia","Johucon",1992,14730,0,2,0,"(0.9,1]"
32,"William","Garcia",1989,13523,2,2,2,2,0.999606254813491,"William","Garcia",1989,13523,"William","Garcia",1989,13523,0,0,0,"(0.9,1]"
33,"David","Rodriguez",1978,14822,0,0,2,2,0.637087109523096,"David","Rodriguez",1978,14822,"joved","vodriguez",1978,14822,3,1,0,"(0.6,0.7]"
